"occ_code","occ_title","current_employment","annual_openings","projected_growth_pct","annual_mean_wage","median_wage","entry_edu","opportunity_label","opportunity_score"
"51-9022","Grinding and Polishing Workers, Hand",10510,800,-21.2,45020,41690,"No formal educational credential","Declining",-211.5
"41-9041","Telemarketers",58430,6500,-22.1,37370,34410,"No formal educational credential","Declining",-217.1
"47-5044","Loading and Moving Machine Operators, Underground Mining",5930,500,-22.3,71240,68860,"No formal educational credential","Declining",-222.7
"51-4062","Patternmakers, Metal and Plastic",1470,100,-24.4,60610,54540,"High school diploma or equivalent","Declining",-243.9
"43-9021","Data Entry Keyers",127080,9500,-25.9,43310,39850,"High school diploma or equivalent","Declining",-253.3
"51-4071","Foundry Mold and Coremakers",12790,900,-25.9,49860,45700,"High school diploma or equivalent","Declining",-258.5
"43-2011","Switchboard Operators, Including Answering Service",34280,2800,-26.3,42300,38370,"High school diploma or equivalent","Declining",-261.3
"43-2021","Telephone Operators",3430,300,-27.5,44970,39130,"High school diploma or equivalent","Declining",-274.8
"47-5043","Roof Bolters, Mining",2160,100,-34.2,78100,76640,"High school diploma or equivalent","Declining",-341.9
"43-9022","Word Processors and Typists",35010,2200,-36.1,51120,47850,"High school diploma or equivalent","Declining",-359.7
